USER_ID,SUBSCRIPTION_ID,NEW_PAID_SUBSCRIPTION_DATE,TRIAL_DURATION_DAYS,SUBSCRIPTION_TIER,SUBSCRIPTION_SOURCE,SUBSCRIPTION_PROVIDER,SUBSCRIPTION_AFFILIATE,AGE,GENDER_IDENTITY,COUNTRY,REGION_TYPE_LEVEL_1,REGION_TYPE_LEVEL_2,CLASS_FORMAT_PREFERENCE,CLASS_INTENSITY_PREFERENCE,CLASS_PER_WEEK_GOAL,DANCE_LEVEL_PREFERENCE,FITNESS_GOAL_PREFERENCE,MOTIVATING_FACTORS,MUSIC_PREFERENCE,APP_VERSION,DEVICE_OPERATING_SYSTEM,DEVICE_MANUFACTURER,DEVICE_BRAND,DEVICE_MODEL,APP_INSTALL_TO_PAID_SUBSCRIPTION_DAYS,NO_VIDEO_STARTED_30D,NO_VIDEO_WATCHED_30D,AVG_VIDEO_WATCHED_PERCENTAGE_30D,AVG_VIDEO_LENGTH_MIN_30D,PAID_SUBSCRIPTION_DURATION_DAYS,PAID_SUBSCRIPTION_CHURN_30D
4292752,64c92562-a387-45b2-b9f7-1defb9014737,2025-11-23,7,Annual,App,Apple,,55-64,female,United States of America,"Canada, Great Britain & United States",North America,,,3,,lose weight and tone,,,2,iOS,Apple,Apple,"Iphone17,3",7,0,0,0,0,0,1
4222828,65f05b37-5613-4e5c-816c-afa96de67c29,2025-11-23,7,Annual,Web,Stripe,,55-64,female,United States of America,"Canada, Great Britain & United States",North America,,"[
  ""Medium""
]",3,Beginner,lose weight and tone,,"[
  ""Caribbean Rhythms"",
  ""Chill Out"",
  ""Pop"",
  ""World Rhythms""
]",2,iOS,Apple,Apple,"Iphone15,4",7,0,0,0,0,0,1
4303592,5c742967-3acf-450b-ac55-a1054a593d75,2025-11-23,0,Monthly,Web,App to Web,,45-54,female,United States of America,"Canada, Great Britain & United States",North America,,"[
  ""Medium"",
  ""High""
]",3,Beginner,Have some fun,,,6,iOS,Apple,Apple,"Iphone17,2",,1,1,0.9928,13.916666667,0,1
4289978,f4b2ca55-0d66-41fc-9feb-4bfa162352ed,2025-11-22,7,Annual,App,Apple,,35-44,female,United Kingdom,"Canada, Great Britain & United States",Europe,,"[
  ""Medium""
]",4,Intermediate,lose weight and tone,,"[
  ""Afro Rhythms"",
  ""Brazilian Rhythms"",
  ""Caribbean Rhythms"",
  ""Chill Out"",
  ""Disco"",
  ""Electronic"",
  ""Pop"",
  ""Reggaeton"",
  ""Salsa"",
  ""Techno""
]",2,iOS,Apple,Apple,"Iphone14,5",7,0,0,0,0,1,1
4247718,e85e0cf2-e6c4-4837-a3ae-1d9ca234d7db,2025-11-09,0,Annual,Web,App to Web,,35-44,male,United States of America,"Canada, Great Britain & United States",North America,,"[
  ""High""
]",5,Advanced,lose weight and tone,,"[
  ""Afro Rhythms"",
  ""Bachata"",
  ""Brazilian Rhythms"",
  ""Caribbean Rhythms"",
  ""Chill Out"",
  ""Cumbia"",
  ""Disco"",
  ""Electronic"",
  ""Hip Hop"",
  ""House"",
  ""Merengue"",
  ""Pop"",
  ""Reggaeton"",
  ""Salsa"",
  ""Techno"",
  ""World Rhythms""
]",2,iOS,Apple,Apple,"Iphone16,1",20,3,1,0.0907,41.283333333,14,1
4294810,54dc9c29-d3aa-459e-aadb-e251a4dd727b,2025-11-17,0,Monthly,Web,App to Web,,35-44,female,United States of America,"Canada, Great Britain & United States",North America,,"[
  ""Medium""
]",3,Beginner,,,"[
  ""Bachata"",
  ""Cumbia"",
  ""Disco"",
  ""Hip Hop"",
  ""Merengue"",
  ""Pop"",
  ""Reggaeton"",
  ""Salsa""
]",6,iOS,Apple,Apple,"Iphone15,3",0,5,3,0.5801666667,35.927083333,6,1
4276043,e451c61d-979d-4bf6-9581-f24845cc02a6,2025-11-13,7,Annual,Web,App to Web,,25-34,female,United States of America,"Canada, Great Britain & United States",North America,,"[
  ""High"",
  ""Medium""
]",5,Intermediate,lose weight and tone,,"[
  ""Bachata"",
  ""Caribbean Rhythms"",
  ""Disco"",
  ""House"",
  ""Pop"",
  ""Salsa"",
  ""Techno""
]",2,iOS,Apple,Apple,"Iphone17,1",7,0,0,0,0,10,1
4285897,a767526a-1342-4a0d-804f-627a7b3807e1,2025-11-12,0,Monthly,Web,Stripe,,35-44,female,Spain,Rest of the World,Europe,,"[
  ""High""
]",5,Advanced,lose weight and tone,,"[
  ""Afro Rhythms"",
  ""Bachata"",
  ""Brazilian Rhythms"",
  ""Caribbean Rhythms"",
  ""Chill Out"",
  ""Cumbia"",
  ""Disco"",
  ""Hip Hop"",
  ""House"",
  ""Merengue"",
  ""Pop"",
  ""Reggaeton"",
  ""Salsa""
]",3.13.1,Android,Oppo,Oppo,Cph2699,0,2,0,0,31.941666667,11,1
4267171,b4d9d475-dc6a-434b-aeb8-9dc31655b97f,2025-11-08,7,Annual,Web,Stripe,,,,United States of America,"Canada, Great Britain & United States",North America,,"[
  ""High"",
  ""Low""
]",5,Beginner,,,,2,iOS,Apple,Apple,"Iphone12,1",7,0,0,0,0,15,1
3238681,82505128-5aa6-4137-ab65-820563bfe8ae,2025-11-13,7,Monthly,App,Apple,,,,Netherlands,Rest of the World,Europe,,"[
  ""Medium"",
  ""High""
]",3,Advanced,lose weight and tone,,"[
  ""Afrobeats"",
  ""Bachata"",
  ""Belly Dance"",
  ""Cumbia"",
  ""Disco"",
  ""Merengue"",
  ""R&B"",
  ""Reggaeton"",
  ""Salsa""
]",3.14.0,Android,Lenovo,Lenovo,Tb351fu,445,12,9,0.8816666667,25.95952381,10,1
4221517,8b423298-e0c6-47af-9d0f-9b31ab46e002,2025-11-10,7,Annual,App,Apple,,45-54,female,United States of America,"Canada, Great Britain & United States",North America,,"[
  ""Medium""
]",3,Intermediate,lose weight and tone,,"[
  ""Hip Hop"",
  ""Pop"",
  ""Salsa""
]",2,iOS,Apple,Apple,"Iphone15,4",37,0,0,0,0,13,1
4189061,0fd9140c-d742-424c-8600-a9d3873078b1,2025-11-11,7,Annual,App,Apple,,25-34,female,United Arab Emirates,Rest of the World,ME-A,,"[
  ""Medium""
]",3,Intermediate,lose weight and tone,,"[
  ""Bachata"",
  ""Brazilian Rhythms"",
  ""Pop"",
  ""Salsa"",
  ""World Rhythms""
]",2,iOS,Apple,Apple,"Iphone15,3",7,1,0,0,0,12,1
4280681,76a315cb-dfb7-49af-b10b-d82fd91d4070,2025-11-09,0,Monthly,Web,App to Web,,45-54,female,United States of America,"Canada, Great Britain & United States",North America,,"[
  ""Medium""
]",4,Intermediate,lose weight and tone,,"[
  ""Afro Rhythms"",
  ""Caribbean Rhythms"",
  ""Cumbia"",
  ""Hip Hop"",
  ""Merengue"",
  ""Reggaeton"",
  ""Salsa""
]",6,iOS,Apple,Apple,"Iphone12,1",0,0,0,0,0,14,1
4294531,ac923dfe-6f23-415a-9c41-8254e3e9a4ab,2025-11-17,0,Monthly,App,App to Web,,35-44,female,United States of America,"Canada, Great Britain & United States",North America,,"[
  ""Medium""
]",3,Intermediate,lose weight and tone,,"[
  ""Afro Rhythms"",
  ""Bachata"",
  ""Brazilian Rhythms"",
  ""Caribbean Rhythms"",
  ""Cumbia"",
  ""Disco"",
  ""Electronic"",
  ""Hip Hop"",
  ""Merengue"",
  ""Pop"",
  ""Reggaeton"",
  ""Salsa"",
  ""Techno"",
  ""World Rhythms""
]",6,iOS,Apple,Apple,"Iphone15,3",0,4,2,0.99925,28.641666667,6,1
4266761,869e7671-3639-4ac8-86e3-c5e4d04da0f6,2025-11-08,7,Annual,App,Apple,,55-64,female,United States of America,"Canada, Great Britain & United States",North America,,"[
  ""Medium""
]",7,Beginner,lose weight and tone,,"[
  ""Salsa""
]",6,iOS,Apple,Apple,"Iphone14,5",7,0,0,0,0,15,1
4274377,ef1ff6c8-cc81-490d-8409-1a6723e4f82f,2025-11-12,7,Annual,Web,App to Web,,35-44,female,United States of America,"Canada, Great Britain & United States",North America,,"[
  ""Medium""
]",5,Intermediate,Have some fun,,"[
  ""Afro Rhythms"",
  ""Bachata"",
  ""Brazilian Rhythms"",
  ""Cumbia"",
  ""Electronic"",
  ""Hip Hop"",
  ""House"",
  ""Pop"",
  ""Salsa"",
  ""World Rhythms""
]",2,iOS,Apple,Apple,"Iphone16,2",7,2,1,0.9973,44.111111111,11,1
4291282,830ae937-4aee-4e93-bcef-ab53727af246,2025-11-16,0,Monthly,App,Apple,,45-54,female,Finland,Rest of the World,Europe,,"[
  ""Low""
]",3,Beginner,lose weight and tone,,"[
  ""Afro Rhythms"",
  ""Bachata"",
  ""Brazilian Rhythms"",
  ""Caribbean Rhythms"",
  ""Disco"",
  ""Merengue"",
  ""Pop"",
  ""Salsa"",
  ""World Rhythms""
]",2,iOS,Apple,Apple,"Iphone13,1",0,6,5,0.08982,6.189393939,7,1
4273087,5791371f-cebe-48b4-83cc-818c7f125dad,2025-11-14,7,Annual,Web,Stripe,,35-44,female,Germany,Rest of the World,Europe,,"[
  ""Medium"",
  ""High""
]",5,Intermediate,,,"[
  ""Afro Rhythms"",
  ""Bachata"",
  ""Brazilian Rhythms"",
  ""Caribbean Rhythms"",
  ""Cumbia"",
  ""Electronic"",
  ""Merengue"",
  ""Reggaeton"",
  ""Salsa"",
  ""Techno""
]",2,iOS,Apple,Apple,"Iphone14,7",9,0,0,0,0,9,1
4293118,bfaa17f3-dae5-48b4-8e8c-278b5448061f,2025-11-17,0,Monthly,App,Google,,35-44,female,Germany,Rest of the World,Europe,,"[
  ""High""
]",2,Beginner,lose weight and tone,,,3.13.1,Android,Samsung,Samsung,Sm-A556b,0,1,1,0.5796,13.916666667,6,1
3955770,93fbf153-e668-4fef-b0ec-92eae6641ff6,2025-11-11,7,Annual,Web,App to Web,,35-44,female,United States of America,"Canada, Great Britain & United States",North America,,"[
  ""Medium""
]",3,Intermediate,Start my fitness journey,,"[
  ""Bellydance"",
  ""Pop"",
  ""R&B""
]",2,iOS,Apple,Apple,"Iphone14,7",138,4,3,0.9971666667,33.576190476,12,1
4282587,1f098e38-27f5-4b0a-8463-35d6a72d3f1a,2025-11-17,7,Annual,Web,Stripe,,35-44,female,United States of America,"Canada, Great Britain & United States",North America,,"[
  ""Low""
]",5,Beginner,lose weight and tone,,"[
  ""Cumbia"",
  ""Merengue"",
  ""Reggaeton"",
  ""Salsa""
]",3.13.1,Android,Samsung,Samsung,Sm-S928u,,8,6,0.9997333333,32.478571429,6,1
2464505,23752603-d693-4ddd-b426-2b0d2483392f,2025-11-18,0,Monthly,Web,App to Web,,35-44,female,United States of America,"Canada, Great Britain & United States",North America,,"[
  ""High""
]",5,Intermediate,lose weight and tone,,"[
  ""Afro Rhythms"",
  ""Bachata"",
  ""Brazilian Rhythms"",
  ""Caribbean Rhythms"",
  ""Chill Out"",
  ""Cumbia"",
  ""Merengue"",
  ""Pop"",
  ""Reggaeton"",
  ""Salsa"",
  ""Techno"",
  ""World Rhythms""
]",2,iOS,Apple,Apple,"Iphone15,2",0,8,4,0.595675,33.386111111,5,1
4288735,61f777cc-f0ca-49a7-a464-66a5b782a2d3,2025-11-14,0,Monthly,Web,App to Web,,,,United States of America,"Canada, Great Britain & United States",North America,,"[
  ""Medium""
]",,Intermediate,,,"[
  ""Disco"",
  ""Hip Hop"",
  ""House"",
  ""Pop"",
  ""Salsa"",
  ""Techno""
]",2,iOS,Apple,Apple,"Iphone14,3",0,0,0,0,0,9,1
2571908,8989b015-bc79-4e82-af4c-24554ccb2e23,2025-11-20,7,Annual,Web,Stripe,,25-34,female,United States of America,"Canada, Great Britain & United States",North America,Virtual Classes,"[
  ""Medium"",
  ""High""
]",4,Intermediate,lose weight and tone,"[
  ""Earning Badges"",
  ""Joining a supportive community"",
  ""Tracking activity streaks"",
  ""Receiving class reminders""
]","[
  ""Afrobeats"",
  ""Alternative"",
  ""Bhangra"",
  ""Blues"",
  ""Bollywood"",
  ""Broadway"",
  ""Funk"",
  ""Merengue"",
  ""Pop"",
  ""R&B"",
  ""Rock"",
  ""Salsa""
]",2,iOS,Apple,Apple,"Iphone13,1",638,0,0,0,0,3,1
4282487,929d7982-6bef-4ade-9e0f-d1df3fa16730,2025-11-10,0,Monthly,Web,Stripe,,,,United States of America,"Canada, Great Britain & United States",North America,,"[
  ""Medium""
]",3,Intermediate,,,"[
  ""Caribbean Rhythms"",
  ""Pop""
]",2,iOS,Apple,Apple,"Iphone17,1",-1,10,5,0.99976,21.333333333,13,1
4274921,3828992b-d647-427c-addb-273a73343d39,2025-11-13,7,Annual,Web,Stripe,,55-64,female,United States of America,"Canada, Great Britain & United States",North America,,"[
  ""Low""
]",3,Beginner,lose weight and tone,,"[
  ""Caribbean Rhythms"",
  ""Disco"",
  ""House"",
  ""Pop"",
  ""Salsa""
]",2,iOS,Apple,Apple,"Iphone15,4",7,1,1,0.521,13.916666667,10,1
4295782,7208d0a7-43e9-4b83-a01a-384fefc76cb6,2025-11-18,0,Monthly,Web,Stripe,,,,Canada,"Canada, Great Britain & United States",North America,,"[
  ""Medium""
]",3,Beginner,,,"[
  ""Afro Rhythms"",
  ""Hip Hop"",
  ""Reggaeton""
]",,iOS,,,,,1,0,0,32.416666667,5,1
4296317,4dbda478-0752-460d-beb2-dc1d098f56b5,2025-11-18,0,Monthly,Web,Stripe,,35-44,female,United States of America,"Canada, Great Britain & United States",North America,,"[
  ""Medium""
]",3,Beginner,lose weight and tone,,"[
  ""Brazilian Rhythms"",
  ""Caribbean Rhythms"",
  ""Electronic"",
  ""Hip Hop"",
  ""House"",
  ""Pop"",
  ""Reggaeton"",
  ""Techno""
]",2,iOS,Apple,Apple,"Iphone14,2",0,0,0,0,0,5,1
4285915,8fd8eb4d-bfb1-4ec9-9450-514a44f26aee,2025-11-19,7,Annual,Web,Stripe,,35-44,female,United Kingdom,"Canada, Great Britain & United States",Europe,,"[
  ""Medium""
]",3,Beginner,lose weight and tone,,"[
  ""Caribbean Rhythms"",
  ""Electronic"",
  ""House"",
  ""Pop"",
  ""Techno""
]",3.13.1,Android,Samsung,Samsung,Sm-S928b,6,0,1,1,32.4,4,1
4298857,16ee2315-3055-41e0-a3f0-e6d0cd1e3433,2025-11-20,0,Monthly,Web,Stripe,,35-44,female,Denmark,Rest of the World,Europe,,"[
  ""Low"",
  ""Medium"",
  ""High""
]",5,Beginner,lose weight and tone,,"[
  ""Afro Rhythms"",
  ""Bachata"",
  ""Brazilian Rhythms"",
  ""Caribbean Rhythms"",
  ""Chill Out"",
  ""Cumbia"",
  ""Disco"",
  ""Electronic"",
  ""Hip Hop"",
  ""House"",
  ""Merengue"",
  ""Pop"",
  ""Reggaeton"",
  ""Salsa"",
  ""Techno"",
  ""World Rhythms""
]",2,iOS,Apple,Apple,"Iphone15,4",0,0,0,0,0,3,1
4296626,997c27c2-d920-4ad0-b52a-7f030afffb9e,2025-11-18,0,Monthly,Web,App to Web,,35-44,female,United States of America,"Canada, Great Britain & United States",North America,,"[
  ""Medium""
]",3,Intermediate,lose weight and tone,,"[
  ""Afro Rhythms"",
  ""Bachata"",
  ""Brazilian Rhythms"",
  ""Caribbean Rhythms"",
  ""Chill Out"",
  ""Cumbia"",
  ""Disco"",
  ""Electronic"",
  ""Hip Hop"",
  ""House"",
  ""Merengue"",
  ""Pop"",
  ""Reggaeton"",
  ""Salsa"",
  ""Techno"",
  ""World Rhythms""
]",2,iOS,Apple,Apple,"Iphone14,7",1,3,1,0.9988,22.475,5,1
2837488,35c992f5-c9f2-4bda-8edb-e5073f73fb03,2025-11-08,14,Annual,App,Apple,,,,United Kingdom,"Canada, Great Britain & United States",Europe,Virtual Classes,"[
  ""Medium"",
  ""High""
]",,Intermediate,,"[
  ""Earning Badges"",
  ""Taking classes at home"",
  ""New Music"",
  ""Receiving class reminders""
]","[
  ""Afrobeats"",
  ""Bachata"",
  ""Belly Dance"",
  ""Bhangra"",
  ""Bollywood"",
  ""Cumbia"",
  ""Disco"",
  ""Funk"",
  ""Hip Hop"",
  ""House"",
  ""K-Pop"",
  ""Pop"",
  ""Reggae"",
  ""Reggaeton"",
  ""Salsa"",
  ""Soca""
]",3.0.1,Android,Samsung,Samsung,Sm-T736b,647,1,1,1,30,2,1
3584493,424fd913-07b5-4e48-be2c-61d4c18cd24b,2025-11-18,7,Annual,App,Google,,,,Australia,Rest of the World,APAC (excl. India),,"[
  ""Medium""
]",2,Intermediate,lose weight and tone,,"[
  ""Alternative"",
  ""Belly Dance"",
  ""Blues"",
  ""Disco"",
  ""Funk"",
  ""Hip Hop"",
  ""House"",
  ""Pop"",
  ""R&B""
]",3.13.1,Android,Samsung,Samsung,Sm-F946b,311,0,0,0,0,5,1
4289562,057f10b9-5c05-4638-83b3-f37bc4a3f81b,2025-11-22,7,Annual,Web,Stripe,,35-44,female,United States of America,"Canada, Great Britain & United States",North America,,"[
  ""Medium""
]",3,Beginner,lose weight and tone,,"[
  ""Cumbia"",
  ""Electronic"",
  ""Hip Hop"",
  ""Pop"",
  ""Reggaeton"",
  ""Salsa""
]",3.13.1,Android,Google,Google,Pixel 9 Pro Xl,7,0,0,0,0,1,1
4287788,68bbb518-62f0-4af6-97c2-27054ca15dd7,2025-11-21,7,Monthly,App,Apple,,25-34,female,United Kingdom,"Canada, Great Britain & United States",Europe,,"[
  ""Medium""
]",3,Beginner,lose weight and tone,,,2,iOS,Apple,Apple,"Iphone17,2",8,0,0,0,0,2,1
4287878,7753b524-e1e0-437d-bae5-d6f332429d77,2025-11-20,7,Annual,Web,Stripe,,,,United States of America,"Canada, Great Britain & United States",North America,,"[
  ""Low""
]",3,Beginner,lose weight and tone,,[],3.14.0,Android,Google,Google,Pixel 9,7,4,3,0.1549666667,32.116666667,3,1
4302445,330de82f-6b1e-49c9-b17b-aa0df573315d,2025-11-22,0,Monthly,Web,Stripe,,25-34,female,United States of America,"Canada, Great Britain & United States",North America,,"[
  ""Medium""
]",3,Intermediate,reduce stress,,"[
  ""Electronic"",
  ""Hip Hop"",
  ""Pop"",
  ""Salsa"",
  ""Techno""
]",3.14.0,Android,Samsung,Samsung,Sm-S928u,0,0,0,0,0,1,1
4272764,bb45d94f-8d8c-496f-aed0-29fd01acb06e,2025-11-12,7,Annual,Web,App to Web,,55-64,female,United States of America,"Canada, Great Britain & United States",North America,,"[
  ""Low""
]",3,Beginner,lose weight and tone,,,2,iOS,Apple,Apple,"Iphone16,1",7,16,12,0.6854583333,23.370833333,11,1
2303250,5ecb0ae4-ace3-41ac-af91-5f2e972f664d,2025-11-09,0,Annual,Web,Stripe,,65+,female,United States of America,"Canada, Great Britain & United States",North America,Virtual Classes,"[
  ""Medium"",
  ""Low""
]",3,Beginner,lose weight and tone,"[
  ""Following instructors"",
  ""Earning Badges"",
  ""Taking classes at home"",
  ""Tracking heart rate & calories with my watch"",
  ""Learning dances""
]","[
  ""Afro Rhythms"",
  ""Brazilian Rhythms"",
  ""Caribbean Rhythms"",
  ""Disco"",
  ""Hip Hop"",
  ""Pop"",
  ""Reggaeton""
]",5,iOS,Apple,Apple,"Ipad12,1",663,0,0,0,0,14,1
4280073,0bea31f5-5d67-45ab-8361-a5eb810bde00,2025-11-16,7,Annual,Web,Stripe,Strand,25-34,female,United States of America,"Canada, Great Britain & United States",North America,,"[
  ""Low"",
  ""Medium""
]",3,Beginner,lose weight and tone,,"[
  ""Brazilian Rhythms"",
  ""Caribbean Rhythms"",
  ""Cumbia"",
  ""Merengue"",
  ""Reggaeton"",
  ""Salsa"",
  ""World Rhythms""
]",2,iOS,Apple,Apple,"Iphone14,3",7,7,7,0.8520285714,24.554761905,7,1
3396060,f2872812-3c31-4bea-a019-2ecd85360e16,2025-11-13,0,Monthly,App,Apple,,,,Ukraine,Rest of the World,Europe,,"[
  ""Medium""
]",7,Intermediate,lose weight and tone,,"[
  ""Afrobeats"",
  ""Bachata"",
  ""Disco"",
  ""Hip Hop"",
  ""Pop""
]",6,iOS,Apple,Apple,"Iphone14,3",371,18,11,0.7908636364,38.688505747,10,1
4290355,90bd44ac-5f7f-40a9-a367-dff925c05f65,2025-11-15,0,Monthly,App,Google,,45-54,female,United States of America,"Canada, Great Britain & United States",North America,,"[
  ""High"",
  ""Medium""
]",,Intermediate,lose weight and tone,,"[
  ""Bachata"",
  ""Brazilian Rhythms"",
  ""Caribbean Rhythms"",
  ""Disco"",
  ""Hip Hop"",
  ""Pop"",
  ""Salsa""
]",3.14.0,Android,Samsung,Samsung,Sm-A366u,0,3,2,0.809,48.493333333,8,1
4288265,26bbbc84-1322-4271-884f-ea858e3a2324,2025-11-14,0,Monthly,Web,Stripe,,25-34,female,United States of America,"Canada, Great Britain & United States",North America,,"[
  ""Medium"",
  ""High""
]",2,Intermediate,lose weight and tone,,"[
  ""Bachata"",
  ""Electronic"",
  ""House"",
  ""Merengue"",
  ""Pop""
]",2,iOS,Apple,Apple,"Iphone14,5",0,5,5,0.7673,22.19,9,1
4276821,0a3db742-2c92-48a2-8a7b-da1d9c9ca380,2025-11-14,7,Annual,Web,Stripe,,55-64,female,United States of America,"Canada, Great Britain & United States",North America,,"[
  ""Medium""
]",3,Intermediate,lose weight and tone,,"[
  ""Disco"",
  ""Merengue""
]",2,iOS,Apple,Apple,"Iphone17,1",7,0,0,0,0,9,1
4280991,eb754b89-8def-44b8-b6c4-7cd98610e424,2025-11-17,7,Annual,Web,Stripe,,45-54,female,United Kingdom,"Canada, Great Britain & United States",Europe,,"[
  ""Medium""
]",3,Intermediate,lose weight and tone,,"[
  ""Brazilian Rhythms"",
  ""Caribbean Rhythms"",
  ""Disco"",
  ""Electronic"",
  ""House"",
  ""Pop"",
  ""Reggaeton"",
  ""Salsa"",
  ""Techno"",
  ""World Rhythms""
]",6,iOS,Apple,Apple,"Iphone17,2",7,0,0,0,0,6,1
4281467,10ddc028-a7c1-446e-8d97-d62ef6f4cd38,2025-11-10,0,Monthly,App,Google,,35-44,female,United States of America,"Canada, Great Britain & United States",North America,,"[
  ""Medium""
]",4,Intermediate,lose weight and tone,,"[
  ""Bachata"",
  ""Cumbia"",
  ""Hip Hop"",
  ""Reggaeton""
]",3.13.1,Android,Samsung,Samsung,Sm-S928u,0,4,2,0.46565,26.086111111,13,1
